# steps	lattice	no_ret
10	2.7993230155045463	3.8936970825546138
30	4.856410187005556	6.8254978045797
50	6.284387600541007	8.858977732144751
70	7.422920475546269	10.461071917561279
90	8.436093548646163	11.857049962848405
110	9.295265055126972	13.138675998713598
130	10.110680610948997	14.289844474381576
150	10.852299111360804	15.325322440907534
170	11.56272976215531	16.274853850360167
190	12.19849677354136	17.277358758951877
210	12.821591384595177	18.093552329578678
230	13.386924917779842	18.967529182641872
250	14.033571934026646	19.754116025629514
270	14.52761001761614	20.56733925693939
290	15.167689935703931	21.31208903506092
310	15.639843910445128	21.98721932481776
330	16.116752860908445	22.795104957650757
350	16.624749974514213	23.390306834226166
370	17.016141510425886	24.079673345863675
390	17.52727258598233	24.719905812446097
410	17.98629692868935	25.26552574817422
430	18.35652731212079	25.964440967678417
450	18.790913821618766	26.579365076423024
470	19.209937174348212	27.14896341365246
490	19.582929985646892	27.804733879448854
510	20.01156158192464	28.3191031755717
530	20.356594518587983	28.94369322589423
550	20.813765677972185	29.338179184388615
570	21.166698859456073	29.876711253361016
590	21.561988519818392	30.456593848341523
610	21.857826487627214	30.964741503742818
630	22.26813903769449	31.519783034491752
650	22.660359777833623	31.98429625157807
670	22.934022494056396	32.4900394123993
690	23.240499837061773	32.866534425914104
710	23.690360608705962	33.3953222580155
730	23.900355921304502	33.83108647034989
750	24.291817769811498	34.22032088039787
770	24.54419164768481	34.78790226965673
790	24.925571615845584	35.22232988037002
810	25.185641128628816	35.580673388508984
830	25.591117920613346	36.144239311354546
850	25.810043245642042	36.54273246171775
870	26.07246568381771	37.00512756229336
890	26.392570122468733	37.368411494699004
910	26.741906982087265	37.80380494228421
930	26.964025310934574	38.331823214418726
950	27.370708384193644	38.58381265755611
970	27.640942937571044	39.04606192779242
990	27.97184990690832	39.30809945740962
# Mean for 2D self avoiding = 70.50659 (100000 samples)
